# MPI wrapper: mpiicx | flags: -O3 -xCORE-AVX2 | N=10000 block=32 | cores=24
# pinning: I_MPI_PIN_PROCESSOR_LIST=<unset> OMPI_bind=<unset>

## 1) Process scaling (strong)  N=10000 block=32  [collectives]
mpi n=10000 block=32 procs=1 mode=collective reps=3 | t_tot=142.572798 s (comm=0.091117 comp=142.481681, comm%=0.1) | 14.03 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=2 mode=collective reps=3 | t_tot=71.154262 s (comm=0.175209 comp=70.979053, comm%=0.2) | 28.11 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=4 mode=collective reps=3 | t_tot=53.264890 s (comm=8.994858 comp=44.270032, comm%=16.9) | 37.55 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=8 mode=collective reps=3 | t_tot=28.222297 s (comm=4.828319 comp=23.393978, comm%=17.1) | 70.87 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=16 mode=collective reps=3 | t_tot=15.594932 s (comm=0.687065 comp=14.907866, comm%=4.4) | 128.25 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=24 mode=collective reps=3 | t_tot=21.140591 s (comm=6.153808 comp=14.986784, comm%=29.1) | 94.60 GFLOP/s | max_err=0

## 2) Collectives vs point-to-point  (N=10000, P=8)
mpi n=10000 block=32 procs=8 mode=collective reps=3 | t_tot=19.186149 s (comm=0.350744 comp=18.835405, comm%=1.8) | 104.24 GFLOP/s | max_err=0
mpi n=10000 block=32 procs=8 mode=p2p reps=3 | t_tot=25.578700 s (comm=3.837219 comp=21.741481, comm%=15.0) | 78.19 GFLOP/s | max_err=0

## 3) Weak scaling (per-process work ~constant: n = n1 * P^(1/3))
mpi n=4000 block=32 procs=1 mode=collective reps=3 | t_tot=8.546954 s (comm=0.014563 comp=8.532391, comm%=0.2) | 14.98 GFLOP/s | max_err=0
mpi n=5040 block=32 procs=2 mode=collective reps=3 | t_tot=8.757505 s (comm=0.043721 comp=8.713784, comm%=0.5) | 29.24 GFLOP/s | max_err=0
mpi n=6350 block=32 procs=4 mode=collective reps=3 | t_tot=7.502466 s (comm=0.070606 comp=7.431860, comm%=0.9) | 68.26 GFLOP/s | max_err=0
mpi n=8000 block=32 procs=8 mode=collective reps=3 | t_tot=10.465036 s (comm=0.213328 comp=10.251707, comm%=2.0) | 97.85 GFLOP/s | max_err=0
