# Compiler: Intel(R) oneAPI DPC++/C++ Compiler 2023.2.0 (2023.2.0.20230721)
# built matmul_omp | N=5000 default block=32 | cores available=24

## 1) Thread scaling  (N=5000, block=32, schedule=static)  T=1,2,4,8,16,24
omp n=5000 block=32 threads=1 sched=static reps=3 | t_min=8.082573 s  t_med=8.082791 s | 30.93 GFLOP/s | max_err=0
omp n=5000 block=32 threads=2 sched=static reps=3 | t_min=3.954751 s  t_med=3.990759 s | 63.22 GFLOP/s | max_err=0
omp n=5000 block=32 threads=4 sched=static reps=3 | t_min=1.902917 s  t_med=1.905238 s | 131.38 GFLOP/s | max_err=0
omp n=5000 block=32 threads=8 sched=static reps=3 | t_min=0.946905 s  t_med=0.947052 s | 264.02 GFLOP/s | max_err=0
omp n=5000 block=32 threads=16 sched=static reps=3 | t_min=0.825927 s  t_med=0.933622 s | 302.69 GFLOP/s | max_err=0
omp n=5000 block=32 threads=24 sched=static reps=3 | t_min=0.852321 s  t_med=0.879270 s | 293.32 GFLOP/s | max_err=0

## 2) Block-size sweep  (N=5000, T=24, schedule=static)  block=0(no-block),32,64,128,256
omp n=5000 block=0 threads=24 sched=static reps=3 | t_min=2.672984 s  t_med=2.678583 s | 93.53 GFLOP/s | max_err=0
omp n=5000 block=32 threads=24 sched=static reps=3 | t_min=0.874598 s  t_med=0.885950 s | 285.85 GFLOP/s | max_err=0
omp n=5000 block=64 threads=24 sched=static reps=3 | t_min=1.138678 s  t_med=1.158688 s | 219.55 GFLOP/s | max_err=0
omp n=5000 block=128 threads=24 sched=static reps=3 | t_min=1.136176 s  t_med=1.145169 s | 220.04 GFLOP/s | max_err=0
omp n=5000 block=256 threads=24 sched=static reps=3 | t_min=1.144044 s  t_med=1.146096 s | 218.52 GFLOP/s | max_err=0

## 3) Schedule sweep  (N=5000, T=24, block=32)  static / dynamic / guided
omp n=5000 block=32 threads=24 sched=static reps=3 | t_min=0.900329 s  t_med=0.908120 s | 277.68 GFLOP/s | max_err=0
omp n=5000 block=32 threads=24 sched=dynamic reps=3 | t_min=0.836449 s  t_med=0.848624 s | 298.88 GFLOP/s | max_err=0
omp n=5000 block=32 threads=24 sched=guided reps=3 | t_min=0.848645 s  t_med=0.864127 s | 294.59 GFLOP/s | max_err=0

## Confirm winner bigger, e.g.:
##   OMP_NUM_THREADS=24 OMP_SCHEDULE=<best> ./omp/matmul_omp 10000 <best_block> 5   (>> outputs/omp_confirm.txt 2>&1)
