# Compiler: Intel(R) oneAPI DPC++/C++ Compiler 2023.2.0 (2023.2.0.20230721)

## Loop order  (n=2000): naive i-j-k vs cache-friendly i-k-j vs blocked
i-j-k naive    n=2000 block=0 reps=1 | t_min=0.628512 s  t_med=0.628512 s | 25.46 GFLOP/s | max_err=0
i-k-j          n=2000 block=0 reps=1 | t_min=0.631002 s  t_med=0.631002 s | 25.36 GFLOP/s | max_err=0
i-k-j blocked  n=2000 block=64 reps=1 | t_min=0.638141 s  t_med=0.638141 s | 25.07 GFLOP/s | max_err=0

## Flag sweep  (n=5000, i-k-j, no blocking)
-O0              n=5000 block=0 reps=1 | t_min=169.509759 s  t_med=169.509759 s | 1.47 GFLOP/s | max_err=0
-O1              n=5000 block=0 reps=1 | t_min=71.868169 s  t_med=71.868169 s | 3.48 GFLOP/s | max_err=0
-O2              n=5000 block=0 reps=1 | t_min=50.885719 s  t_med=50.885719 s | 4.91 GFLOP/s | max_err=0
-O3              n=5000 block=0 reps=1 | t_min=50.842524 s  t_med=50.842524 s | 4.92 GFLOP/s | max_err=0
-O3 -xHost       n=5000 block=0 reps=1 | t_min=10.057895 s  t_med=10.057895 s | 24.86 GFLOP/s | max_err=0

## Block-size sweep  (n=5000, -O3 -xHost)
n=5000 block=0 reps=1 | t_min=10.051415 s  t_med=10.051415 s | 24.87 GFLOP/s | max_err=0
n=5000 block=8 reps=1 | t_min=12.273973 s  t_med=12.273973 s | 20.37 GFLOP/s | max_err=0
n=5000 block=16 reps=1 | t_min=7.910274 s  t_med=7.910274 s | 31.60 GFLOP/s | max_err=0
n=5000 block=32 reps=1 | t_min=7.760032 s  t_med=7.760032 s | 32.22 GFLOP/s | max_err=0
n=5000 block=64 reps=1 | t_min=10.742046 s  t_med=10.742046 s | 23.27 GFLOP/s | max_err=0

## Confirm winner bigger, e.g.:  ./seq/matmul_seq 10000 <best_block> 5   (>> outputs/seq_confirm.txt 2>&1)
